n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample,alpha,best_it
100,0.01,4,5,0.8,0.8,100,1051
100,0.01,6,3,0.8,0.9,100,534
100,0.01,6,7,0.9,0.9,1,637
100,0.01,3,7,0.8,0.9,0,379
100,0.01,2,6,0.9,0.9,25,447
100,0.01,2,5,0.8,0.8,100,644
100,0.01,5,7,0.8,0.9,75,785
100,0.01,1,3,0.8,0.9,100,534
100,0.01,1,7,0.9,0.9,25,891
100,0.01,1,6,0.8,0.9,75,404
100,0.01,1,3,0.8,0.8,3,299
100,0.01,6,5,0.8,0.8,3,416
100,0.01,3,3,0.8,0.9,100,538
100,0.01,3,5,0.9,0.8,0,459
100,0.01,6,3,0.9,0.8,7,300
100,0.01,6,7,0.9,0.9,3,989
100,0.01,2,5,0.8,0.9,100,701
100,0.01,5,7,0.8,0.8,0,618
100,0.01,1,8,0.8,0.9,0,572
100,0.01,6,4,0.9,0.9,100,563
100,0.01,5,8,0.8,0.8,0,891
100,0.01,1,5,0.8,0.9,100,649
100,0.01,5,8,0.8,0.9,3,887
100,0.01,6,4,0.8,0.9,100,1086
100,0.01,2,4,0.8,0.8,100,510
100,0.01,2,4,0.8,0.9,75,545
100,0.01,6,3,0.8,0.8,100,398
100,0.01,2,5,0.9,0.8,75,333
100,0.01,3,3,0.9,0.9,3,316
100,0.01,2,3,0.8,0.9,10,365
100,0.01,6,6,0.8,0.8,100,912
100,0.01,3,4,0.9,0.9,50,755
100,0.01,5,8,0.9,0.9,5,968
100,0.01,5,3,0.9,0.9,25,248
100,0.01,1,6,0.8,0.9,100,668
100,0.01,1,4,0.9,0.9,75,695
100,0.01,5,7,0.8,0.9,50,795
100,0.01,6,4,0.8,0.9,100,702
100,0.01,1,5,0.8,0.8,10,2222
100,0.01,1,8,0.8,0.9,1,386
100,0.01,1,6,0.8,0.8,10,389
100,0.01,5,7,0.8,0.9,10,267
100,0.01,6,3,0.8,0.8,75,497
100,0.01,3,7,0.9,0.8,0,873
100,0.01,6,8,0.8,0.8,7,456
100,0.01,6,8,0.8,0.8,0,742
100,0.01,5,6,0.8,0.8,100,794
100,0.01,6,5,0.8,0.9,100,576
100,0.01,6,3,0.8,0.8,100,746
100,0.01,3,3,0.9,0.8,25,704
100,0.01,4,5,0.8,0.9,100,891
100,0.01,5,3,0.8,0.8,100,680
100,0.01,6,5,0.8,0.9,100,671
100,0.01,3,3,0.8,0.8,100,761
100,0.01,5,4,0.8,0.9,100,569
100,0.01,6,4,0.8,0.8,100,522
100,0.01,6,7,0.8,0.8,100,671
100,0.01,2,3,0.8,0.8,100,454
100,0.01,4,3,0.8,0.8,3,256
100,0.01,4,6,0.8,0.9,3,426
